Wall time,Step,Value
1664207134.8790212,0,0.010916334576904774
1664207170.456243,1,0.0049347421154379845
1664207206.130081,2,0.004496732726693153
1664207241.7969513,3,0.004110283683985472
1664207277.5333126,4,0.0038774411659687757
1664207313.266594,5,0.003703293390572071
1664207349.04849,6,0.0035664611496031284
1664207384.8095973,7,0.0034696541260927916
1664207420.4825304,8,0.0034059123136103153
1664207456.1866665,9,0.00334716634824872
1664207491.9637394,10,0.0033258385956287384
1664207527.5549538,11,0.003318832954391837
1664207569.3065262,12,0.0033007280435413122
1664207604.9384844,13,0.003291357308626175
1664207640.601857,14,0.003279733704403043
1664207676.3606448,15,0.0032544962596148252
1664207711.9416351,16,0.003265609499067068
1664207747.5194376,17,0.0032930830493569374
1664207783.1430643,18,0.0032558832317590714
1664207818.7985656,19,0.0032897775527089834
1664207854.3146513,20,0.0032585319131612778
1664207890.0407364,21,0.003234810195863247
1664207925.793436,22,0.003221726743504405
1664207961.5216138,23,0.0032313517294824123
1664207997.1355326,24,0.00324813649058342
1664208032.7917771,25,0.003267101012170315
1664208068.3900208,26,0.0032249761279672384
1664208110.1267834,27,0.0032244259491562843
1664208145.7803054,28,0.003243123646825552
1664208181.4356308,29,0.003221029182896018
1664208217.0666578,30,0.003227030858397484
1664208252.7577314,31,0.0032158601097762585
1664208288.3998804,32,0.003238690784201026
1664208324.030569,33,0.003238476114347577
1664208359.7232122,34,0.0032106454018503428
1664208395.483085,35,0.0032141930423676968
1664208431.237008,36,0.0032258385326713324
1664208466.9753551,37,0.003223639214411378
1664208502.5360394,38,0.003230252768844366
1664208538.2335162,39,0.0032165644224733114
1664208573.921681,40,0.003211172064766288
1664208609.5941927,41,0.0032095364294946194
1664208645.3787043,42,0.003215014236047864
1664208687.3320408,43,0.0032088973093777895
1664208722.9121244,44,0.0032175611704587936
1664208758.5082276,45,0.00320439413189888
1664208794.245462,46,0.003215016098693013
1664208829.8791125,47,0.0032270883675664663
1664208865.4118013,48,0.003211347619071603
1664208901.0282524,49,0.003188482951372862
1664208936.733134,50,0.0032046169508248568
1664208972.3047137,51,0.0032080477103590965
1664209007.9676228,52,0.0032107483129948378
1664209043.6607752,53,0.0032065974082797766
1664209079.5056562,54,0.0031999254133552313
1664209115.1771748,55,0.0032008474227041006
1664209150.8507628,56,0.003226995235309005
1664209186.3995967,57,0.0032094346825033426
1664209221.418032,58,0.003212768118828535
1664209255.5891666,59,0.0032133746426552534
1664209289.7724721,60,0.003201123094186187
1664209323.991747,61,0.00320017640478909
1664209358.1696393,62,0.0031916447915136814
1664209392.3278277,63,0.0032188158947974443
1664209426.449136,64,0.0032050369773060083
1664209460.6175668,65,0.003213958814740181
1664209494.7779794,66,0.0031935900915414095
1664209528.8930736,67,0.003195019206032157
1664209563.020342,68,0.0032202175352722406
1664209597.1261146,69,0.0031964515801519156
1664209631.2982697,70,0.003208762966096401
1664209665.4524803,71,0.003200928680598736
1664209699.5565073,72,0.003195058088749647
1664209733.7011702,73,0.0031975163146853447
1664209767.8010063,74,0.0031988555565476418
1664209801.9296813,75,0.003188807750120759
1664209836.0541916,76,0.003190464572981
1664209870.2357428,77,0.0032044043764472008
1664209904.3945065,78,0.00319021032191813
1664209938.5592592,79,0.0032064553815871477
1664209972.7681162,80,0.0031901118345558643
1664210006.8703997,81,0.0031893460545688868
1664210040.9904122,82,0.0032012395095080137
1664210075.2023683,83,0.003195182653144002
1664210109.3256621,84,0.0031888559460639954
1664210143.4932103,85,0.003192763077095151
1664210177.6818135,86,0.003196088131517172
1664210211.797499,87,0.003180324798449874
1664210245.911985,88,0.003192746778950095
1664210280.0993721,89,0.00318329781293869
1664210314.2773435,90,0.0031959344632923603
1664210348.4467645,91,0.0031917020678520203
1664210382.6081278,92,0.003190638031810522
1664210416.8001604,93,0.0031993857119232416
1664210451.0390098,94,0.0031824156176298857
1664210485.1801744,95,0.0031842279713600874
1664210519.32746,96,0.0031821622978895903
1664210553.5193398,97,0.0031715871300548315
1664210587.6523714,98,0.003203747095540166
